0.0822,0.1542,-0.0396,0.3262,0.5504,0.3534,1.7891816920943135,0.9597780859916782,-1.4230235783633842
0.0864,0.1424,-0.032,0.3002,0.547,0.3644,1.7891816920943135,0.9597780859916782,-1.4230235783633842
0.0838,0.127,-0.0248,0.3174,0.5532,0.366,1.7725381414701804,0.9736477115117892,-1.4590846047156727
0.077,0.1046,-0.015,0.3294,0.5374,0.3556,1.7725381414701804,0.9736477115117892,-1.4590846047156727
0.0728,0.0884,-0.0046,0.3304,0.5168,0.342,1.7753120665742026,0.9819694868238558,-1.4618585298196949
0.0712,0.0684,0.003,0.3328,0.5054,0.334,1.7753120665742026,0.9819694868238558,-1.4618585298196949
0.0716,0.0562,0.0064,0.333,0.5042,0.3302,1.7753120665742026,0.9819694868238558,-1.4618585298196949
0.0732,0.0506,0.0068,0.3418,0.5028,0.3278,1.7614424410540916,0.9736477115117892,-1.4507628294036061
0.0774,0.0496,0.0054,0.3294,0.4946,0.315,1.7614424410540916,0.9736477115117892,-1.4507628294036061
0.0868,0.054,0.004,0.2998,0.4992,0.3026,1.7475728155339805,0.9819694868238558,-1.478502080443828
0.095,0.065,0.0,0.3034,0.5118,0.3086,1.7475728155339805,0.9819694868238558,-1.478502080443828
0.0992,0.08,-0.0068,0.326,0.5172,0.319,1.7309292649098473,0.9597780859916782,-1.5256588072122053
0.102,0.0932,-0.0116,0.3278,0.517,0.3206,1.7309292649098473,0.9597780859916782,-1.5256588072122053
0.107,0.1034,-0.0132,0.314,0.5258,0.3178,1.7281553398058251,0.9486823855755895,-1.536754507628294
0.1108,0.1082,-0.0126,0.31,0.5258,0.319,1.7281553398058251,0.9486823855755895,-1.536754507628294
0.1114,0.1056,-0.0114,0.3058,0.5202,0.3204,1.7198335644937586,0.9403606102635229,-1.550624133148405
0.109,0.0996,-0.01,0.3018,0.5218,0.3194,1.7198335644937586,0.9403606102635229,-1.550624133148405
0.0944,0.081,-0.0086,0.3188,0.5154,0.3166,1.7059639389736476,0.9292649098474342,-1.5755894590846047
0.0866,0.0706,-0.0084,0.3156,0.508,0.3102,1.7059639389736476,0.9292649098474342,-1.5755894590846047
0.0798,0.0644,-0.01,0.315,0.5076,0.3072,1.697642163661581,0.9292649098474342,-1.59500693481276
